Country,Household,Vaccinated children,Siblings,Parents,Grandparents
Angola,226 [68-835],47017 [3461-20226756],37770 [2781-16248708],1795 [442-10956],269 [78-1036]
Burundi,145 [38-593],43672 [2798-18959763],39363 [2522-17089117],1567 [325-10226],163 [43-715]
Benin,122 [32-458],50770 [3127-16256126],40147 [2473-12854814],1831 [447-11279],134 [35-513]
Burkina Faso,103 [26-444],42591 [2681-15874957],29695 [1869-11068066],1534 [323-10044],113 [29-484]
Botswana,87 [23-355],35375 [2324-12353097],41860 [2750-14617493],1276 [287-7774],94 [25-394]
Central African Republic,149 [42-573],45711 [3071-15894066],35475 [2383-12334982],1687 [385-10000],169 [48-665]
Côte d’Ivoire,127 [37-524],50628 [3219-19258583],42845 [2724-16298047],1900 [425-11162],139 [40-565]
Cameroon,93 [26-387],41850 [3287-15017436],32511 [2553-11666352],1525 [351-9038],102 [28-415]
Congo - Kinshasa,140 [40-564],43980 [2944-15347869],32825 [2198-11455106],1541 [350-9321],160 [44-638]
Congo - Brazzaville,213 [61-827],53509 [3789-24444046],54380 [3851-24841699],1974 [442-10904],245 [70-935]
Comoros,72 [21-283],39667 [2587-14446632],34101 [2224-12419524],1500 [335-9096],77 [22-305]
Cape Verde,61 [16-267],24523 [1568-8623806],20966 [1341-7372759],922 [209-5440],67 [18-293]
Djibouti,71 [19-274],29331 [1876-11702340],25076 [1604-10004693],1089 [241-6219],79 [21-305]
Algeria,86 [23-329],33666 [2277-12370495],28782 [1947-10575919],1244 [283-7778],93 [25-355]
Egypt,77 [18-322],19293 [1160-8358479],26499 [1593-11480279],704 [137-4751],90 [21-382]
Eritrea,89 [24-333],37054 [2400-13792257],31679 [2052-11791427],1358 [286-8482],99 [26-370]
Ethiopia,94 [26-360],41735 [2930-16015595],41210 [2893-15814256],1508 [338-8960],101 [27-403]
Gabon,132 [38-527],41587 [2892-16737313],38319 [2665-15422169],1539 [366-9244],148 [43-591]
Ghana,109 [29-426],38494 [2596-15168626],45925 [3098-18096762],1487 [342-9498],119 [31-468]
Guinea,98 [27-397],60051 [4122-23649721],41245 [2831-16243491],2332 [506-13167],103 [28-440]
Gambia,71 [20-267],48247 [3317-18041472],22510 [1548-8417607],1818 [391-9816],74 [21-285]
Guinea-Bissau,139 [39-579],56691 [3653-21143556],48467 [3123-18076280],2108 [462-12751],153 [42-638]
Equatorial Guinea,102 [29-429],41939 [2872-14424345],35855 [2456-12331819],1557 [355-9493],112 [30-483]
Kenya,109 [28-435],33288 [1952-12855761],38719 [2270-14953051],1234 [247-8023],122 [31-488]
Liberia,154 [43-633],62670 [3892-25247177],55184 [3427-22231549],2281 [501-14139],170 [46-692]
Libya,84 [22-334],33214 [2245-12883610],28395 [1919-11014597],1256 [292-7972],93 [24-380]
Lesotho,69 [19-287],35881 [2532-13538078],52718 [3720-19890574],1349 [310-8142],73 [20-319]
Morocco,41 [11-187],19729 [1306-7271599],21513 [1424-7929291],738 [148-5183],44 [12-199]
Madagascar,136 [40-542],40127 [2888-16981681],35639 [2565-15082680],1475 [342-9641],153 [45-589]
Mali,130 [35-833],63559 [3820-26321190],46261 [2780-19157520],2111 [470-25230],140 [37-866]
Mozambique,124 [34-510],34551 [2376-13110908],34248 [2355-12995580],1313 [303-8091],140 [37-598]
Mauritania,116 [33-483],46797 [3300-19216266],40009 [2821-16428581],1752 [403-12463],127 [36-546]
Mauritius,83 [24-316],33494 [2399-11636798],28635 [2051-9948659],1254 [298-7099],90 [26-350]
Malawi,88 [23-408],29975 [1950-10709552],30510 [1985-10900673],1088 [247-7394],99 [25-461]
Namibia,79 [22-315],39063 [2706-17247221],38656 [2678-17067544],1400 [312-8004],85 [23-353]
Niger,108 [30-394],43838 [3058-18047715],29382 [2049-12096097],1740 [389-9967],116 [32-422]
Nigeria,122 [35-469],45944 [3044-18286065],38666 [2562-15389393],1682 [405-10043],134 [38-532]
