Continent,ISO_code,Country,WHO_Region,pop_year,age,gender,population,Vaccine,vac_year,Percent_covrage,vac_population,deaths_averted_1000FVP,mid,low,high,vac_deaths_averted,suspension_period,covid_deaths,benefit_risk_ratio
Africa,AGO,Angola,AFR,2020,0,both,1211118,HepB3,2018,84,1017339.12,17 (5.7-39),17,5.7,39,17294.76504,1,101.733912,170
Africa,AGO,Angola,AFR,2020,0,both,1211118,Hib3,2018,84,1017339.12,6 (2.8-8.4),6,2.8,8.4,6104.03472,1,101.733912,60
Africa,AGO,Angola,AFR,2020,0,both,1211118,MCV1,2018,79,956783.22,18 (11-25),18,11,25,17222.09796,1,95.678322,180
Africa,AGO,Angola,AFR,2020,1,both,1185592,MCV2,2018,35,414957.2,,,,,,1,41.49572,
Africa,AGO,Angola,AFR,2020,0,both,1211118,PCV3,2018,82,993116.76,5.6 (3.2-8.7),5.6,3.2,8.7,5561.453856,1,99.311676,56
Africa,AGO,Angola,AFR,2020,0,both,1211118,RCV1,2018,79,956783.22,0.3 (0-1.2),0.3,0,1.2,287.034966,1,95.678322,3
Africa,AGO,Angola,AFR,2020,0,both,1211118,RotaC,2018,75,908338.5,3.3 (1.7-5),3.3,1.7,5,2997.51705,1,90.83385,33
Africa,AGO,Angola,AFR,2020,0,both,1211118,YFV,2018,74,896227.32,14 (4.1-29),14,4.1,29,12547.18248,1,89.622732,140
Africa,BDI,Burundi,AFR,2020,0,both,422833,HepB3,2018,90,380549.7,4.6 (1-8.1),4.6,1,8.1,1750.52862,1,38.05497,46
Africa,BDI,Burundi,AFR,2020,0,both,422833,Hib3,2018,90,380549.7,5 (1.9-7.7),5,1.9,7.7,1902.7485,1,38.05497,50
Africa,BDI,Burundi,AFR,2020,0,both,422833,MCV1,2018,88,372093.04,15 (2.8-21),15,2.8,21,5581.3956,1,37.209304,150
Africa,BDI,Burundi,AFR,2020,1,both,418226,MCV2,2018,77,322034.02,,,,,,1,32.203402,
Africa,BDI,Burundi,AFR,2020,0,both,422833,PCV3,2018,90,380549.7,4.5 (2-8.3),4.5,2,8.3,1712.47365,1,38.05497,45
Africa,BDI,Burundi,AFR,2020,0,both,422833,RCV1,2018,88,372093.04,0.16 (0-0.62),0.16,0,0.62,59.5348864,1,37.209304,1.6
Africa,BDI,Burundi,AFR,2020,0,both,422833,RotaC,2018,92,389006.36,1.5 (1.1-1.9),1.5,1.1,1.9,583.50954,1,38.900636,15
Africa,BEN,Benin,AFR,2020,0,both,400675,HepB3,2018,82,328553.5,18 (5.2-49),18,5.2,49,5913.963,1,32.85535,180
Africa,BEN,Benin,AFR,2020,0,both,400675,Hib3,2018,82,328553.5,5.1 (1.9-8.2),5.1,1.9,8.2,1675.62285,1,32.85535,51
Africa,BEN,Benin,AFR,2020,0,both,400675,MCV1,2018,74,296499.5,14 (1.9-31),14,1.9,31,4150.993,1,29.64995,140
Africa,BEN,Benin,AFR,2020,0,both,400675,PCV3,2018,75,300506.25,4.8 (2.1-9.1),4.8,2.1,9.1,1442.43,1,30.050625,48
Africa,BEN,Benin,AFR,2020,0,both,400675,YFV,2018,78,312526.5,32 (12-64),32,12,64,10000.848,1,31.25265,320
Africa,BFA,Burkina Faso,AFR,2020,0,both,730807,HepB3,2018,91,665034.37,8.1 (2-15),8.1,2,15,5386.778397,1,66.503437,81
Africa,BFA,Burkina Faso,AFR,2020,0,both,730807,Hib3,2018,91,665034.37,2.8 (1.4-3.9),2.8,1.4,3.9,1862.096236,1,66.503437,28
Africa,BFA,Burkina Faso,AFR,2020,0,both,730807,MCV1,2018,88,643110.16,16 (-1.6-22),16,1.6,22,10289.76256,1,64.311016,160
Africa,BFA,Burkina Faso,AFR,2020,1,both,711535,MCV2,2018,50,355767.5,,,,,,1,35.57675,
Africa,BFA,Burkina Faso,AFR,2020,0,both,730807,MenA,2018,87,635802.09,1.1 (0.33-2),1.1,0.33,2,699.382299,1,63.580209,11
Africa,BFA,Burkina Faso,AFR,2020,0,both,730807,PCV3,2018,91,665034.37,2.6 (1.4-4.1),2.6,1.4,4.1,1729.089362,1,66.503437,26
Africa,BFA,Burkina Faso,AFR,2020,0,both,730807,RCV1,2018,88,643110.16,0.05 (0-0.17),0.05,0,0.17,32.155508,1,64.311016,0.5
Africa,BFA,Burkina Faso,AFR,2020,0,both,730807,RotaC,2018,91,665034.37,0.97 (0.69-1.4),0.97,0.69,1.4,645.0833389,1,66.503437,9.7
Africa,BFA,Burkina Faso,AFR,2020,0,both,730807,YFV,2018,49,358095.43,37 (13-73),37,13,73,13249.53091,1,35.809543,370
Africa,BWA,Botswana,AFR,2020,0,both,53410,HepB3,2018,93,49671.3,,,,,,1,4.96713,
Africa,BWA,Botswana,AFR,2020,0,both,53410,Hib3,2018,93,49671.3,,,,,,1,4.96713,
Africa,BWA,Botswana,AFR,2020,0,both,53410,MCV1,2018,93,49671.3,,,,,,1,4.96713,
Africa,BWA,Botswana,AFR,2020,1,both,54151,MCV2,2018,74,40071.74,,,,,,1,4.007174,
Africa,BWA,Botswana,AFR,2020,0,both,53410,PCV3,2018,77,41125.7,,,,,,1,4.11257,
Africa,BWA,Botswana,AFR,2020,0,both,53410,RCV1,2018,79,42193.9,,,,,,1,4.21939,
Africa,BWA,Botswana,AFR,2020,0,both,53410,RotaC,2018,74,39523.4,,,,,,1,3.95234,
Africa,CAF,Central African Republic (the),AFR,2020,0,both,153152,HepB3,2018,74,113332.48,24 (5.2-41),24,5.2,41,2719.97952,1,11.333248,240
