Continent,ISO_code,Country,WHO_Region,pop_year,age,gender,population,Vaccine,vac_year,Percent_covrage,vac_population,deaths_averted_1000FVP,mid,low,high,vac_deaths_averted,hh_size,under_20_in_hh_at_least_one_under_20,percent_hh_at_least_one_under_20,percent_hh_under_20_and_over_60,suspension_period,child_covid_deaths,child_covid_deaths_low,child_covid_deaths_high,sibling_covid_deaths,sibling_covid_deaths_low,sibling_covid_deaths_high,parent_covid_deaths,parent_covid_deaths_low,parent_covid_deaths_high,grandparent_covid_deaths,grandparent_covid_deaths_low,grandparent_covid_deaths_high,covid_deaths,covid_deaths_low,covid_deaths_high,benefit_risk_ratio,child_benefit_risk_ratio,sibling_benefit_risk_ratio,parent_benefit_risk_ratio,grandparent_benefit_risk_ratio
Africa,AGO,Angola,AFR,2020,0,both,1211118,HepB3,2018,84,1017339.12,0.25 (0.03-0.93),0.25,0.03,0.93,254.33478,4.81565736350675,3.48964494153361,79.8157300085367,8.9667121457471,0.5,0.190046431209847,0.0801403240089372,0.783921976564834,0.236574068059055,0.0997604761408575,0.975843691755834,7.36429920938157,3.10543755534632,30.3769765918873,50.7070179231217,21.3825475175532,209.161232141792,58.4979376317721,24.6678858730493,241.297974402,2.17387817670569,669.138532044221,537.537317776755,17.2680911495283,2.50788540144092
Africa,AGO,Angola,AFR,2020,0,both,1211118,Hib3,2018,84,1017339.12,6 (2.8-8.4),6,2.8,8.4,6104.03472,4.81565736350675,3.48964494153361,79.8157300085367,8.9667121457471,0.5,0.190046431209847,0.0801403240089372,0.783921976564834,0.236574068059055,0.0997604761408575,0.975843691755834,7.36429920938157,3.10543755534632,30.3769765918873,50.7070179231217,21.3825475175532,209.161232141792,58.4979376317721,24.6678858730493,241.297974402,52.1730762409366,16059.3247690613,12900.8956266421,414.434187588679,60.1892496345821
Africa,AGO,Angola,AFR,2020,0,both,1211118,MCV1,2018,79,956783.22,18 (11-24),17.2577319587629,10.5463917525773,23.0103092783505,16511.9083534021,4.81565736350675,3.48964494153361,79.8157300085367,8.9667121457471,0.5,0.0607765113393845,0.0253324857728054,0.271066455789284,0.0756559670100794,0.0315344475303686,0.337429615237618,2.35508981440115,0.981633823696211,10.5038251618348,16.2160143190908,6.75905778362395,72.3242817271705,18.7075366118414,7.79755854062334,83.4366029600322,441.31701292383,135841.199087566,109124.957395642,3505.57933129202,509.123512981946
Africa,AGO,Angola,AFR,2020,1,both,1185592,MCV2,2018,35,414957.2,,0.742268041237113,0.45360824742268,0.989690721649485,308.009468041237,4.81565736350675,3.48964494153361,79.8157300085367,8.9667121457471,0.5,0.0263587931351464,0.0109867074856551,0.117561611822838,0.032812017996924,0.0136765003578853,0.146343336096633,1.02140323398692,0.425734915069135,4.55551245813498,7.03289079109249,2.931405603592,31.3670649841851,8.11346483621148,3.38180372650468,36.1864823902395,18.9813768999497,5842.63221882003,4693.54655465128,150.777605646969,21.8977855045998
Africa,AGO,Angola,AFR,2020,0,both,1211118,PCV3,2018,82,993116.76,5.6 (3.2-8.7),5.6,3.2,8.7,5561.453856,4.81565736350675,3.48964494153361,79.8157300085367,8.9667121457471,0.5,0.185521516181041,0.0782322210563435,0.765257167599004,0.230941352152887,0.0973852267089323,0.9526093181426,7.18895875201534,3.03149856593331,29.6537152444614,49.4997079725712,20.8734392433257,204.181202805083,57.1051295929204,24.0805552570243,235.552784535286,48.6948711582075,14988.7031177906,12040.8359181993,386.805241749434,56.1766329922767
Africa,AGO,Angola,AFR,2020,0,both,1211118,RCV1,2018,79,956783.22,,,,,,4.81565736350675,3.48964494153361,79.8157300085367,8.9667121457471,0.5,0.0607765113393845,0.0253324857728054,0.271066455789284,0.0756559670100794,0.0315344475303686,0.337429615237618,2.35508981440115,0.981633823696211,10.5038251618348,16.2160143190908,6.75905778362395,72.3242817271705,18.7075366118414,7.79755854062334,83.4366029600322,,,,,
Africa,AGO,Angola,AFR,2020,0,both,1211118,RotaC,2018,75,908338.5,3.3 (1.7-5),3.3,1.7,5,2997.51705,4.81565736350675,3.48964494153361,79.8157300085367,8.9667121457471,0.5,0.114253078813181,0.0479004423923464,0.491234080275174,0.142224799860938,0.0596275470496636,0.611499221533001,4.42730680401075,1.85614214270342,19.035320610663,30.4843025900063,12.7805009304922,131.068050867302,35.1680872726912,14.7441710626376,151.206104779773,42.6170042566922,13117.8830414774,10537.9548887777,338.526013973609,49.1649274433899
Africa,AGO,Angola,AFR,2020,0,both,1211118,YFV,2018,74,896227.32,0.94 (0.28-2),0.94,0.28,2,842.4536808,4.81565736350675,3.48964494153361,79.8157300085367,8.9667121457471,0.5,0.0569298966976514,0.0237291638884507,0.253910350992494,0.0708676146676693,0.0295385964208516,0.316073310475743,2.20603349703399,0.919505100677463,9.83902610095914,15.1896842988952,6.33126931630598,67.7467955419065,17.5235153072945,7.30404217729275,78.1558053043339,24.0378048019085,7399.04452377792,5943.85520629311,190.943084484591,27.7311122542974
Africa,BDI,Burundi,AFR,2020,0,both,422833,HepB3,2018,90,380549.7,0.06 (0-0.18),0.06,0,0.18,22.832982,4.83019337510145,3.21892838096935,86.97775835395,13.4901340739825,0.5,0.071089483301279,0.0299775912082333,0.293236804857317,0.0788712360428273,0.0332590639625231,0.325335734321336,2.75471747792456,1.16163165931904,11.362926188221,26.1864741393913,11.0425252861772,108.016511733117,29.09115233666,12.267393600667,119.998010460517,0.392438596721149,160.593247690613,144.748473243158,4.14434187588679,0.435969002135596
Africa,BDI,Burundi,AFR,2020,0,both,422833,Hib3,2018,90,380549.7,5 (1.9-7.7),5,1.9,7.7,1902.7485,4.83019337510145,3.21892838096935,86.97775835395,13.4901340739825,0.5,0.071089483301279,0.0299775912082333,0.293236804857317,0.0788712360428273,0.0332590639625231,0.325335734321336,2.75471747792456,1.16163165931904,11.362926188221,26.1864741393913,11.0425252861772,108.016511733117,29.09115233666,12.267393600667,119.998010460517,32.7032163934291,13382.7706408844,12062.3727702632,345.361822990566,36.3307501779663
